ref_odoo;libelle;code_barre;categorie;prix_achat
JNR ELIQUIDE 10ML - CHERRY WATERMELON FREEZE;ELI007;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - FIZZY CHERRY COLA;ELI016;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - GREEN APPLE PEACH;ELI019;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - LADY KILLA;ELI029;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - LOVE66;ELI017;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - MANGO PASSION FRUIT;ELI008;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - MIXED BERRIES;ELI009;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - NEW BLUE CHERRY CRANBERRY;ELI018;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - PASSION FRUIT KIWI;ELI021;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - PEACH BERRY;ELI010;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - PEACH MANGO PINEAPPLE;ELI034;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - STRAWBERRY BULL;ELI032;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - STRAWBERRY ICE;ELI023;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - STRAWBERRY KIWI;ELI011;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - STRAWBERRY RASPBERRY ICE;ELI028;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - STRAWBERRY WATERMELON ICE;ELI012;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - SUMMER HOLIDAY;ELI022;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - SUMMER PEACH ICE;ELI024;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - WATERMELON BUBBLE;ELI013;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - WATERMELON ICE;ELI014;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - WATERMELON LYCHEE;ELI030;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - WATERMELON MANGO PEACH;ELI015;;ELIQUIDES - JNR;
JNR ELIQUIDE 10ML - WILD BERRY ICE;ELI033;;ELIQUIDES - JNR;
JNR FALCON GEM+ - 30K - BLACK DRAGON ICE - BY AJCV;GEM011;;VAPES - JNR;
JNR FALCON GEM+ - 30K - BLUEBERRY RASPBERRY CHERRY - BY AJCV;GEM013;;VAPES - JNR;
JNR FALCON GEM+ - 30K - BLUEBERRY SOUR RASPBERRY - BY AJCV;GEM010;;VAPES - JNR;
JNR FALCON GEM+ - 30K - CHERRY ICE - BY AJCV;GEM001;;VAPES - JNR;
JNR FALCON GEM+ - 30K - CHERRY WATERMELON FREEZE - BY AJCV;GEM012;;VAPES - JNR;
JNR FALCON GEM+ - 30K - MANGO PASSION FRUIT - BY AJCV;GEM014;;VAPES - JNR;
JNR FALCON GEM+ - 30K - MIX BERRIES - BY AJCV;GEM008;;VAPES - JNR;
JNR FALCON GEM+ - 30K - NEW BLUE CHERRY CRANBERRY - BY AJCV;GEM009;;VAPES - JNR;
JNR FALCON GEM+ - 30K - NEW PEACH ICE - BY AJCV;GEM003;;VAPES - JNR;
JNR FALCON GEM+ - 30K - NEW STRAWBERRY KIWI - BY AJCV;GEM005;;VAPES - JNR;
JNR FALCON GEM+ - 30K - NEW WATERMELON ICE - BY AJCV;GEM004;;VAPES - JNR;
JNR FALCON GEM+ - 30K - PEACH BERRY - BY AJCV;GEM016;;VAPES - JNR;
JNR FALCON GEM+ - 30K - STRAWBERRY ICE - BY AJCV;GEM002;;VAPES - JNR;
JNR FALCON GEM+ - 30K - STRAWBERRY WATERMELON ICE - BY AJCV;GEM007;;VAPES - JNR;
JNR FALCON GEM+ - 30K - SUMMER HOLIDAY - BY AJCV;GEM006;;VAPES - JNR;
JNR FALCON GEM+ - 30K - WATERMELON MANGO PEACH - BY AJCV;GEM015;;VAPES - JNR;
JNR FOX 10K KIT - ANANAS GLACE - BY AJCV;FOX100;;VAPES - JNR;
JNR FOX 10K KIT - CERISE PETILLANTE - BY AJCV;FOX007;;VAPES - JNR;
JNR FOX 10K KIT - FRAISE GLACEE - BY AJCV;FOX002;;VAPES - JNR;
JNR FOX 10K KIT - MENTHE FRAICHE - BY AJCV;FOX016;;VAPES - JNR;
JNR FOX 10K KIT - MYRTILLE FRAMBOISE ACIDULEE - BY AJCV;FOX018;;VAPES - JNR;
JNR FOX 10K KIT - MYRTILLE GLACEE - BY AJCV;FOX001;;VAPES - JNR;
JNR FOX 10K KIT - PASTEQUE FRAISE - BY AJCV;FOX018;;VAPES - JNR;
JNR FOX 10K KIT - PASTEQUE GLACEE - BY AJCV;FOX003;;VAPES - JNR;
JNR FOX 10K KIT - PECHE JUTEUSE - BY AJCV;FOX101;;VAPES - JNR;
JNR FOX 10K KIT - TRIPLE MANGUE - BY AJCV;FOX017;;VAPES - JNR;
JNR FOX 10K POD - ANANAS GLACE - BY AJCV;FOX200;;VAPES - JNR;
JNR FOX 10K POD - CERISE PETILLANTE - BY AJCV;FOX022;;VAPES - JNR;
JNR FOX 10K POD - FRAISE GLACEE - BY AJCV;FOX017;;VAPES - JNR;
JNR FOX 10K POD - MENTHE FRAICHE - BY AJCV;FOX031;;VAPES - JNR;
JNR FOX 10K POD - MYRTILLE FRAMBOISE ACIDULEE - BY AJCV;FOX034;;VAPES - JNR;
JNR FOX 10K POD - MYRTILLE GLACEE - BY AJCV;FOX016;;VAPES - JNR;
JNR FOX 10K POD - PASTEQUE FRAISE - BY AJCV;FOX033;;VAPES - JNR;
JNR FOX 10K POD - PASTEQUE GLACEE - BY AJCV;FOX018;;VAPES - JNR;
JNR FOX 10K POD - PECHE JUTEUSE - BY AJCV;FOX201;;VAPES - JNR;
JNR FOX 10K POD - TRIPLE MANGUE - BY AJCV;FOX032;;VAPES - JNR;
JNR GORILLA KIT - 43K - BLUE RAZZ CHERRY;GOR004;;VAPES - JNR;
JNR GORILLA KIT - 43K - BLUE RAZZ ICE;GOR065;;VAPES - JNR;
JNR GORILLA KIT - 43K - BLUEBERRY CHERRY CRANBERRY;GOR062;;VAPES - JNR;
JNR GORILLA KIT - 43K - BLUEBERRY SOUR RASPBERRY;GOR012;;VAPES - JNR;
JNR GORILLA KIT - 43K - FIZZY CHERRY COLA;GOR061;;VAPES - JNR;
JNR GORILLA KIT - 43K - LADY KILLA;GOR064;;VAPES - JNR;
JNR GORILLA KIT - 43K - LOVE66;GOR065;;VAPES - JNR;
JNR GORILLA KIT - 43K - MIXED BERRIES;GOR009;;VAPES - JNR;
JNR GORILLA KIT - 43K - STRAWBERRY ICE;GOR001;;VAPES - JNR;
JNR GORILLA KIT - 43K - STRAWBERRY KIWI;GOR005;;VAPES - JNR;
JNR GORILLA KIT - 43K - STRAWBERRY WATERMELON ICE;GOR007;;VAPES - JNR;
JNR GORILLA KIT - 43K - SUMMER PEACH ICE;GOR060;;VAPES - JNR;
JNR GORILLA KIT - 43K - WATERMELON ICE;GOR003;;VAPES - JNR;
JNR GORILLA KIT - 43K - WILD BERRIES ICE;GOR063;;VAPES - JNR;
JNR SHISHA PLUS - 28K - BERRY ICE - BY AJCV;SHP004;;VAPES - JNR;
JNR SHISHA PLUS - 28K - BLUEBERRY BUBBLE - BY AJCV;SHP006;;VAPES - JNR;
